B2,GN
0.173992,0.247453
0.247115,0.201900
0.260243,0.243825
0.244171,0.211743
0.204797,0.263685
0.203349,0.216188
0.222646,0.162252
0.236443,0.248569
0.216144,0.248546
0.250441,0.269757
0.202232,0.202952
0.231045,0.216179
0.203509,0.165826
0.248621,0.167406
0.175579,0.196048
0.246556,0.197271
0.239910,0.188251
0.161676,0.209874
0.213289,0.204600
0.240401,0.272203
0.155700,0.204600
0.225673,0.194643
0.152492,0.266922
0.212676,0.181477
0.234454,0.235799
0.312447,0.168707
0.193957,0.276619
0.215494,0.198874
0.177188,0.220809
0.112306,0.124002
