B2,GN
0.138314,0.005433
0.056371,0.005433
0.056371,0.005433
0.064683,0.005433
0.056371,0.005433
0.064683,0.005433
0.064683,0.005433
0.064683,0.005433
0.056371,0.005433
0.056371,0.005433
0.056371,0.005433
0.056371,0.005433
0.155126,0.005433
0.056371,0.005433
0.064683,0.005433
0.056371,0.005433
0.064683,0.005433
0.056371,0.005433
0.064683,0.005433
0.056371,0.005433
0.056371,0.005433
0.064683,0.005433
0.103064,0.005433
0.064683,0.005433
0.064683,0.005433
0.064683,0.005433
0.064683,0.005433
0.334162,0.005433
0.064683,0.005433
0.064683,0.005433
