
VAR_12_banking-8623981935.uml	 strategy
VAR_9_banking-4111771915.uml	 strategy
VAR_17_banking-7724862451.uml	 strategy
VAR_16_banking-5514759996.uml	 strategy
VAR_0_banking-7751542663.uml	nao aplicado
VAR_25_banking-1219618114.uml	nao aplicado
VAR_1_banking-1766814326.uml	nao aplicado
VAR_3_banking-1223187987.uml	 strategy
VAR_12_banking-2881373194.uml	nao aplicado
VAR_8_banking-4685655233.uml	nao aplicado
VAR_10_banking-5361711211.uml	nao aplicado
VAR_29_banking-2967762566.uml	nao aplicado
VAR_9_banking-1962127145.uml	nao aplicado
VAR_6_banking-9558892167.uml	nao aplicado
VAR_13_banking-9651372781.uml	 strategy
VAR_26_banking-7112871181.uml	nao aplicado
VAR_28_banking-8488134672.uml	nao aplicado
VAR_15_banking-5111861675.uml	 strategy
VAR_26_banking-8827438119.uml	 strategy
VAR_13_banking-7361751692.uml	nao aplicado
VAR_All_banking-7294316121.uml	 strategy
VAR_28_banking-2756416628.uml	 strategy
VAR_1_banking-5921166124.uml	 strategy
VAR_19_banking-6521838219.uml	nao aplicado
VAR_20_banking-1192584396.uml	 strategy
VAR_10_banking-2295425956.uml	 strategy
VAR_18_banking-3642621148.uml	nao aplicado
VAR_3_banking-1499832291.uml	nao aplicado
VAR_5_banking-8492721635.uml	nao aplicado
VAR_21_banking-8486694121.uml	nao aplicado
VAR_22_banking-1892132711.uml	nao aplicado
VAR_7_banking-7149521938.uml	 strategy
VAR_27_banking-1141926181.uml	 strategy
VAR_4_banking-9169511236.uml	nao aplicado
VAR_0_banking-5181538198.uml	 strategy
VAR_5_banking-4853221211.uml	 strategy
VAR_16_banking-5165431867.uml	nao aplicado
VAR_11_banking-7831371581.uml	nao aplicado
VAR_All_banking-8489715735.uml	nao aplicado
VAR_27_banking-2788782353.uml	nao aplicado
VAR_2_banking-5188678211.uml	nao aplicado
VAR_14_banking-6176218889.uml	nao aplicado
VAR_23_banking-6849155195.uml	nao aplicado
VAR_15_banking-9652824941.uml	nao aplicado
VAR_All_banking-1459884233.uml	nao aplicado
VAR_0_banking-8647261858.uml	nao aplicado
VAR_24_banking-2538841199.uml	nao aplicado
VAR_7_banking-9485813431.uml	nao aplicado
VAR_29_banking-2175635192.uml	 strategy
VAR_20_banking-7416959626.uml	nao aplicado
VAR_17_banking-6522857649.uml	nao aplicado
