
VAR_1_BeT-8186662886.uml	 strategy
VAR_1_BeT-1239394327.uml	 strategy
VAR_6_BeT-2582487778.uml	nao aplicado
VAR_12_BeT-5379837677.uml	 strategy
VAR_11_BeT-9958131272.uml	 strategy
VAR_0_BeT-7355357419.uml	nao aplicado
VAR_0_BeT-3568277751.uml	nao aplicado
VAR_15_BeT-7913914796.uml	 strategy
VAR_2_BeT-3184132155.uml	nao aplicado
VAR_12_BeT-8529672657.uml	 strategy
VAR_16_BeT-4637592261.uml	 strategy
VAR_1_BeT-1199831873.uml	 strategy
VAR_11_BeT-4416531195.uml	 strategy
VAR_8_BeT-1981487811.uml	 strategy
VAR_0_BeT-4841613373.uml	nao aplicado
VAR_0_BeT-8424819491.uml	 strategy
VAR_1_BeT-1111794811.uml	 strategy
VAR_11_BeT-9729251776.uml	 strategy
VAR_2_BeT-5913255679.uml	nao aplicado
VAR_1_BeT-2813511617.uml	 strategy
VAR_13_BeT-2771292849.uml	nao aplicado
VAR_13_BeT-4553371251.uml	nao aplicado
VAR_5_BeT-3631551668.uml	 strategy
VAR_5_BeT-2915173122.uml	nao aplicado
VAR_1_BeT-9641388353.uml	 strategy
VAR_1_BeT-7355418358.uml	 strategy
VAR_16_BeT-3197111741.uml	 strategy
VAR_0_BeT-4411124114.uml	 strategy
VAR_15_BeT-7868397248.uml	 strategy
VAR_6_BeT-1128324949.uml	nao aplicado
VAR_0_BeT-5436466616.uml	nao aplicado
VAR_12_BeT-9127266823.uml	nao aplicado
VAR_15_BeT-3641131815.uml	nao aplicado
VAR_1_BeT-1533287633.uml	nao aplicado
VAR_0_BeT-8669712116.uml	 strategy
VAR_15_BeT-9937972941.uml	 strategy
VAR_9_BeT-2462427212.uml	 strategy
VAR_15_BeT-4917658235.uml	nao aplicado
VAR_0_BeT-4517198559.uml	 strategy
VAR_0_BeT-4549514859.uml	nao aplicado
VAR_10_BeT-9171851291.uml	nao aplicado
VAR_1_BeT-7151619543.uml	nao aplicado
