B2,GN
0.409472,0.278151
0.288196,0.261139
0.269817,0.261831
0.272462,0.293313
0.321488,0.265505
0.227452,0.237513
0.281573,0.234994
0.279567,0.265037
0.267732,0.27159
0.297376,0.293204
0.226188,0.258579
0.276766,0.27772
0.263134,0.284936
0.355191,0.283336
0.233886,0.275502
0.267724,0.305427
0.371973,0.248999
0.326513,0.293313
0.265668,0.208071
0.383487,0.202572
0.217707,0.269031
0.270083,0.247461
0.223955,0.268426
0.273095,0.258178
0.402341,0.259894
0.236703,0.237819
0.448809,0.268426
0.253743,0.270947
0.264329,0.277275
0.256141,0.285902
