B2,GN
0.226975,0.253017
0.228711,0.193225
0.275586,0.237392
0.193225,0.228711
0.193225,0.237392
0.228711,0.228711
0.220031,0.194961
0.237392,0.193225
0.237392,0.215725
0.196697,0.193225
0.228711,0.237392
0.193225,0.225239
0.193225,0.228711
0.239128,0.239128
0.194961,0.193225
0.193225,0.228711
0.198433,0.193225
0.193225,0.193225
0.212669,0.194961
0.193225,0.194961
0.253017,0.228711
0.228711,0.226975
0.232183,0.228711
0.194961,0.249544
0.194961,0.230447
0.228711,0.228711
0.193225,0.225239
0.239128,0.228711
0.193225,0.193225
0.228711,0.193225
