B2,GN
0.683433,0.175100
0.345100,0.345100
0.175100,0.003433
0.683433,0.003433
0.175100,0.003433
0.683433,0.345100
0.175100,0.003433
0.175100,0.175100
0.175100,0.345100
0.683433,0.345100
0.683433,0.683433
0.683433,0.175100
0.175100,0.003433
0.683433,0.345100
0.683433,0.345100
0.683433,0.175100
1.020100,0.003433
0.683433,0.003433
0.175100,1.020100
0.683433,0.175100
0.175100,0.003433
0.683433,0.175100
0.345100,0.003433
0.345100,0.345100
0.180100,0.003433
0.683433,0.345100
0.175100,0.175100
0.683433,0.003433
0.345100,0.683433
0.175100,0.683433
