
VAR_5_BeT-2761143739.uml	 strategy
VAR_8_BeT-1799477734.uml	nao aplicado
VAR_4_BeT-7753111271.uml	nao aplicado
VAR_11_BeT-9255953574.uml	nao aplicado
VAR_8_BeT-9154192254.uml	 strategy
VAR_11_BeT-8765255215.uml	nao aplicado
VAR_3_BeT-1137573121.uml	nao aplicado
VAR_3_BeT-7195274497.uml	 strategy
VAR_4_BeT-7978944544.uml	nao aplicado
VAR_11_BeT-1679795457.uml	nao aplicado
VAR_12_BeT-1334528121.uml	 strategy
VAR_2_BeT-6317645136.uml	nao aplicado
VAR_6_BeT-6291813957.uml	nao aplicado
VAR_7_BeT-4147311613.uml	nao aplicado
VAR_8_BeT-1859614675.uml	nao aplicado
VAR_9_BeT-2164214361.uml	 strategy
VAR_4_BeT-7311989232.uml	nao aplicado
VAR_5_BeT-4354551366.uml	nao aplicado
VAR_5_BeT-1451931543.uml	nao aplicado
VAR_0_BeT-9119984376.uml	 strategy
VAR_10_BeT-4945573772.uml	nao aplicado
VAR_5_BeT-3297531466.uml	nao aplicado
VAR_5_BeT-1113149761.uml	 strategy
VAR_1_BeT-2691456134.uml	nao aplicado
VAR_1_BeT-1472316489.uml	 strategy
VAR_4_BeT-9567438419.uml	nao aplicado
VAR_12_BeT-4985114988.uml	nao aplicado
VAR_8_BeT-6585188281.uml	nao aplicado
VAR_4_BeT-1633529199.uml	nao aplicado
VAR_10_BeT-6485878711.uml	 strategy
VAR_8_BeT-9229945642.uml	nao aplicado
VAR_2_BeT-1531791334.uml	nao aplicado
VAR_5_BeT-8135131893.uml	nao aplicado
VAR_1_BeT-4951352926.uml	nao aplicado
VAR_12_BeT-2972145198.uml	nao aplicado
VAR_5_BeT-3965867989.uml	nao aplicado
VAR_5_BeT-2916439689.uml	nao aplicado
VAR_4_BeT-6142366431.uml	 strategy
VAR_3_BeT-1594951422.uml	nao aplicado
VAR_0_BeT-5511152418.uml	 strategy
VAR_10_BeT-2242113178.uml	nao aplicado
VAR_1_BeT-7988951553.uml	nao aplicado
VAR_7_BeT-3371318379.uml	nao aplicado
VAR_7_BeT-1917111911.uml	 strategy
VAR_1_BeT-5122674131.uml	nao aplicado
VAR_9_BeT-5328971292.uml	 strategy
VAR_11_BeT-7313944659.uml	nao aplicado
VAR_3_BeT-1763164319.uml	nao aplicado
VAR_11_BeT-7399612941.uml	nao aplicado
VAR_4_BeT-8951463311.uml	nao aplicado
VAR_8_BeT-9532168541.uml	nao aplicado
VAR_8_BeT-3764111824.uml	 strategy
VAR_1_BeT-7827461821.uml	nao aplicado
VAR_10_BeT-8791247165.uml	nao aplicado
VAR_9_BeT-3575657547.uml	 strategy
VAR_11_BeT-9811285458.uml	 strategy
VAR_6_BeT-6584959928.uml	nao aplicado
VAR_6_BeT-5854646139.uml	nao aplicado
VAR_4_BeT-5129656278.uml	nao aplicado
VAR_3_BeT-6951948781.uml	 strategy
VAR_0_BeT-3162843885.uml	 strategy
VAR_6_BeT-2621619114.uml	nao aplicado
VAR_4_BeT-5474917675.uml	 strategy
VAR_4_BeT-6955616367.uml	 strategy
VAR_8_BeT-7151528664.uml	nao aplicado
VAR_12_BeT-9212685655.uml	nao aplicado
VAR_10_BeT-9371358522.uml	nao aplicado
VAR_2_BeT-8334265342.uml	 strategy
VAR_7_BeT-7558369611.uml	nao aplicado
VAR_0_BeT-8135983814.uml	 strategy
VAR_4_BeT-1114315172.uml	nao aplicado
VAR_8_BeT-9923963182.uml	nao aplicado
VAR_11_BeT-4591256552.uml	nao aplicado
VAR_7_BeT-6813956153.uml	nao aplicado
VAR_8_BeT-9925673119.uml	nao aplicado
VAR_3_BeT-5121782478.uml	nao aplicado
VAR_5_BeT-3756611519.uml	nao aplicado
VAR_1_BeT-7914452148.uml	nao aplicado
VAR_10_BeT-8651712689.uml	 strategy
VAR_6_BeT-6563198931.uml	nao aplicado
VAR_5_BeT-1158763166.uml	 strategy
VAR_0_BeT-2449131628.uml	nao aplicado
VAR_7_BeT-5661871582.uml	nao aplicado
VAR_7_BeT-2422416983.uml	nao aplicado
VAR_2_BeT-8722828571.uml	nao aplicado
VAR_4_BeT-8458764463.uml	nao aplicado
VAR_13_BeT-1229843915.uml	nao aplicado
VAR_11_BeT-6542212961.uml	nao aplicado
VAR_0_BeT-3625442428.uml	nao aplicado
VAR_7_BeT-1858383128.uml	 strategy
VAR_0_BeT-8365291441.uml	nao aplicado
VAR_5_BeT-1743192964.uml	 strategy
VAR_3_BeT-1757929714.uml	nao aplicado
VAR_3_BeT-9173699229.uml	nao aplicado
VAR_13_BeT-2349112557.uml	nao aplicado
VAR_9_BeT-8139871183.uml	nao aplicado
VAR_3_BeT-8171216269.uml	nao aplicado
VAR_4_BeT-1815329181.uml	 strategy
VAR_2_BeT-5954129161.uml	nao aplicado
VAR_4_BeT-9954881194.uml	nao aplicado
VAR_4_BeT-1151868463.uml	nao aplicado
VAR_11_BeT-5172192128.uml	nao aplicado
VAR_12_BeT-7415149441.uml	 strategy
VAR_9_BeT-8256521346.uml	 strategy
VAR_6_BeT-7666227693.uml	nao aplicado
VAR_1_BeT-1368556822.uml	nao aplicado
VAR_6_BeT-1736166375.uml	nao aplicado
VAR_0_BeT-5923116176.uml	 strategy
VAR_5_BeT-6394689773.uml	nao aplicado
VAR_10_BeT-5385164511.uml	nao aplicado
VAR_9_BeT-2113194462.uml	 strategy
VAR_7_BeT-9124943373.uml	 strategy
VAR_13_BeT-5613473914.uml	nao aplicado
VAR_10_BeT-9438911217.uml	nao aplicado
VAR_0_BeT-5953664835.uml	nao aplicado
VAR_5_BeT-2485216346.uml	 strategy
VAR_7_BeT-6658691524.uml	nao aplicado
VAR_10_BeT-3395132473.uml	nao aplicado
VAR_7_BeT-2399182721.uml	 strategy
VAR_9_BeT-8612981947.uml	 strategy
VAR_11_BeT-3812554341.uml	nao aplicado
VAR_10_BeT-3964621371.uml	nao aplicado
VAR_10_BeT-5164479929.uml	nao aplicado
VAR_6_BeT-8237182612.uml	nao aplicado
VAR_1_BeT-3621792159.uml	nao aplicado
VAR_10_BeT-7217697175.uml	nao aplicado
VAR_6_BeT-9731861361.uml	nao aplicado
VAR_12_BeT-6167928327.uml	nao aplicado
VAR_11_BeT-1691647411.uml	nao aplicado
VAR_9_BeT-9575461972.uml	nao aplicado
VAR_2_BeT-6951673189.uml	nao aplicado
VAR_6_BeT-6165851512.uml	nao aplicado
VAR_3_BeT-2871273654.uml	nao aplicado
VAR_9_BeT-5378422279.uml	nao aplicado
VAR_6_BeT-4412538865.uml	nao aplicado
VAR_7_BeT-7813613359.uml	nao aplicado
VAR_5_BeT-2519415547.uml	nao aplicado
VAR_2_BeT-1512155463.uml	nao aplicado
VAR_13_BeT-6457845466.uml	nao aplicado
VAR_0_BeT-5614192215.uml	 strategy
VAR_10_BeT-1619313891.uml	nao aplicado
VAR_10_BeT-6211848177.uml	nao aplicado
VAR_2_BeT-1198119447.uml	nao aplicado
VAR_13_BeT-2733293195.uml	nao aplicado
VAR_13_BeT-1229635419.uml	nao aplicado
VAR_2_BeT-2995798875.uml	nao aplicado
VAR_6_BeT-6313391367.uml	 strategy
VAR_2_BeT-4664236897.uml	nao aplicado
VAR_2_BeT-3315816152.uml	nao aplicado
VAR_13_BeT-3885759799.uml	nao aplicado
VAR_10_BeT-4861165255.uml	nao aplicado
VAR_10_BeT-7841939542.uml	nao aplicado
VAR_1_BeT-1898492673.uml	nao aplicado
VAR_5_BeT-5463727511.uml	 strategy
VAR_1_BeT-5796562937.uml	nao aplicado
VAR_12_BeT-1132712135.uml	nao aplicado
VAR_8_BeT-6274352584.uml	nao aplicado
VAR_10_BeT-2618897973.uml	nao aplicado
VAR_1_BeT-9635172775.uml	 strategy
VAR_1_BeT-1964712348.uml	nao aplicado
VAR_7_BeT-8569821516.uml	 strategy
VAR_3_BeT-8261688857.uml	nao aplicado
VAR_6_BeT-8118444123.uml	 strategy
VAR_0_BeT-8388654112.uml	 strategy
VAR_5_BeT-7288357197.uml	nao aplicado
VAR_1_BeT-1132915697.uml	nao aplicado
VAR_8_BeT-9221413169.uml	nao aplicado
VAR_12_BeT-9147641194.uml	nao aplicado
VAR_11_BeT-8269177813.uml	nao aplicado
VAR_8_BeT-2262729917.uml	nao aplicado
VAR_12_BeT-8173843821.uml	nao aplicado
