B2;GN
301,1062935244;25,079872408
298,1358750637;23,7065391823
507;348,0229877465
170,8478855591;311,0401903292
24,0208242989;308,058436015
73,2461603089;24,1867732449
408,0012254884;305,0803172937
68,0073525437;23,4093998214
22,4722050542;23,5372045919
309,0404504268;470,0010638286
22,5610283454;170,8478855591
306,0588178766;371,0053907964
303,0808472999;73,2461603089
23,0867927612;69,9213844257
296,1688707478;368,0122280577
369,0054200144;70,6045324324
346,0231206148;279,1451235469
368,0122280577;282,1134523556
25;
70,6045324324;
