B2;GN
0,4843221048;0,4843221048
0,5983516452;0,5094267081
0,4588314677;0,4843221048
0,4479032082;0,4705882353
0,4746668747;0,4614791035
0,5983516452;0,5
0,4200840252;0,3857316779
0,5091750772;0,3578095606
0,4275809687;0,4075413665
0,3771236166;1,9986144785
0,4843221048;0,4843221048
0,3852758752;0,4937885787
0,3365728004;0,4843221048
2,2075907207;0,4843221048
0,3365728004;0,4874980215
0,3247595264;0,5060191334
0,5555555556;0,4581228473
2,2075907207;0,3952847075
0,4843221048;0,4843221048
0,3801726581;0,4843221048
0,4242640687;0,4843221048
0,495655869;0,4513354669
2,2103875562;0,4581228473
0,4275809687;0,4303314829
0,3903123749;0,424182503
0,4614791035;0,4843221048
0,4874980215;0,4843221048
0,5091750772;0,4843221048
0,4991341985;0,4843221048
0,4614791035;0,3857316779
