B2;GN
0,515045;0,515045
0,516623;0,504868
0,525702;0,515045
0,514966;0,514651
0,54442;0,514808
0,517018;0,514966
0,514414;0,512994
0,515834;0,530982
0,515445;0,512836
0,514414;0,539424
0,511732;0,515045
0,512284;0,514808
0,512678;0,515045
0,522225;0,515045
0,512678;0,514966
0,511061;0,517964
0,518872;0,514887
0,522225;0,498083
0,515045;0,515045
0,513231;0,515045
0,544715;0,515045
0,515992;0,513231
0,518911;0,514887
0,515445;0,510627
0,511495;0,514335
0,514808;0,515045
0,514966;0,515045
0,515834;0,515045
0,51538;0,515045
0,514808;0,512994
