B2;GN
1,4327007988;1,4327007988
1,2934953397;5,4046763377
1,4307660231;1,4327007988
1,4220269564;1,4336672076
1,2587642887;1,4336672076
1,219645287;1,4375263457
1,500692361;1,6451052219
1,436562533;0,3721614638
1,4210526316;1,8866787715
1,6366644006;3,0954349374
1,4249459338;1,4327007988
1,7175967234;1,442335748
1,7078927094;1,4327007988
3,2320246564;1,4327007988
1,7078927094;1,4336672076
1,6315789474;2,4176177006
1,2686285045;1,4327007988
3,2320246564;2,1275139928
1,4327007988;1,4327007988
1,6459469233;1,4327007988
1,4112723871;1,4327007988
1,3602997877;1,8338159358
3,2044809347;1,4327007988
1,4210526316;1,4249459338
1,7910210029;1,5016150124
1,4336672076;1,4327007988
1,4336672076;1,4327007988
1,436562533;1,4327007988
1,4249459338;1,4327007988
1,4336672076;1,6451052219
