B2,GN
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.016767
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.435100
0.350100,0.350100
0.016767,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.016767,0.350100
0.350100,1.020100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.350100
0.350100,0.435100
0.350100,0.350100
0.353433,0.350100
0.350100,0.350100
0.686767,0.350100
